name,calories,protein,carbs,fat,ingredients,recipe
Spinach and Feta Stuffed Mushrooms,100,8,10,8,"6 large mushrooms; 1 cup spinach, chopped; 1/4 cup crumbled feta cheese; 1 tablespoon olive oil; Salt and pepper, to taste","For spinach and feta stuffed mushrooms: Remove stems from mushrooms and set aside. In a skillet, sauté chopped spinach with olive oil until wilted. Season with salt and pepper. Stuff mushrooms with sautéed spinach and crumbled feta cheese. Bake at 375°F (190°C) for 15-20 minutes until mushrooms are tender."
Cherry Tomato and Mozzarella Skewers,130,10,13,10,12 cherry tomatoes; 12 small mozzarella balls; Fresh basil leaves; Balsamic glaze,"For cherry tomato and mozzarella skewers: Thread cherry tomatoes, mozzarella balls, and fresh basil leaves onto skewers. Drizzle with balsamic glaze before serving."
Carrot Cake Energy Bites,120,9,12,9,"1 cup shredded carrots; 1/2 cup rolled oats; 1/4 cup almond butter; 2 tablespoons honey; 1/4 teaspoon cinnamon; 1/4 teaspoon vanilla extract; Unsweetened shredded coconut, for rolling","For carrot cake energy bites: In a food processor, blend shredded carrots, rolled oats, almond butter, honey, cinnamon, and vanilla extract until well combined. Roll mixture into small balls and coat with shredded coconut."
Chickpea Salad Lettuce Wraps,150,11,15,11,"1 cup cooked chickpeas; 1/4 cup diced bell peppers; 1/4 cup diced cucumbers; 1/4 cup diced tomatoes; 2 tablespoons chopped fresh parsley; 1 tablespoon olive oil; 1 tablespoon lemon juice; Salt and pepper, to taste; Lettuce leaves","For chickpea salad lettuce wraps: In a bowl, mix cooked chickpeas, diced bell peppers, cucumbers, tomatoes, chopped fresh parsley, olive oil, lemon juice, salt, and pepper. Spoon chickpea salad onto lettuce leaves and wrap to serve."
Berry and Almond Yogurt Parfait,180,14,18,14,1/2 cup Greek yogurt; 1/4 cup mixed berries; 2 tablespoons sliced almonds; 1 tablespoon honey,"For berry and almond yogurt parfait: Layer Greek yogurt, mixed berries, sliced almonds, and honey in a glass to create a parfait."
Stuffed Mini Bell Peppers,140,11,14,11,"6 mini bell peppers; 1/2 cup cottage cheese; 2 tablespoons chopped fresh chives; Salt and pepper, to taste","For stuffed mini bell peppers: Slice mini bell peppers in half lengthwise and remove seeds. In a bowl, mix cottage cheese, chopped fresh chives, salt, and pepper. Fill each pepper half with the cottage cheese mixture."
Mango Salsa with Baked Tortilla Chips,160,12,16,12,"1 ripe mango, diced; 1/4 cup diced red onion; 1/4 cup chopped fresh cilantro; 1 jalapeño, seeded and minced; 1 tablespoon lime juice; Salt, to taste; Whole grain tortillas","For mango salsa with baked tortilla chips: In a bowl, combine diced mango, diced red onion, chopped fresh cilantro, minced jalapeño, lime juice, and salt to make salsa. Cut whole grain tortillas into triangles, place on a baking sheet, and bake at 350°F (175°C) for 10-12 minutes until crispy. Serve mango salsa with baked tortilla chips."
Quinoa Salad Stuffed Cucumber Cups,180,14,18,14,"1 cup cooked quinoa; 1/4 cup diced bell peppers; 1/4 cup diced cucumber; 1/4 cup halved cherry tomatoes; 2 tablespoons chopped fresh parsley; 1 tablespoon olive oil; 1 tablespoon lemon juice; Salt and pepper, to taste; Cucumber cups","For quinoa salad stuffed cucumber cups: In a bowl, mix cooked quinoa, diced bell peppers, diced cucumber, halved cherry tomatoes, chopped fresh parsley, olive oil, lemon juice, salt, and pepper. Fill cucumber cups with quinoa salad to serve."
Turkey and Veggie Skewers,130,10,13,10,"8 oz turkey breast, cubed; 1 zucchini, sliced; 1 yellow bell pepper, cubed; 1 tablespoon olive oil; 1 teaspoon Italian seasoning; Salt and pepper, to taste","For turkey and veggie skewers: Thread cubed turkey breast, sliced zucchini, and cubed yellow bell pepper onto skewers. Brush with olive oil and sprinkle with Italian seasoning, salt, and pepper. Grill or bake until turkey is cooked through and vegetables are tender."
Whole Grain Pita Chips with Guacamole,200,15,20,15,"2 whole grain pitas; 1 ripe avocado; 1 tablespoon lime juice; 1/4 teaspoon garlic powder; Salt and pepper, to taste","For whole grain pita chips with guacamole: Cut whole grain pitas into triangles, place on a baking sheet, and bake at 375°F (190°C) for 10-12 minutes until crispy. Mash ripe avocado with lime juice, garlic powder, salt, and pepper to make guacamole. Serve whole grain pita chips with guacamole for dipping."
Cottage Cheese and Pineapple Skewers,150,11,15,11,1 cup low-fat cottage cheese; 1 cup pineapple chunks,For cottage cheese and pineapple skewers: Thread low-fat cottage cheese and pineapple chunks onto skewers for a sweet and protein-rich snack.
Eggplant Chips with Yogurt Dip,160,12,16,12,"1 small eggplant, thinly sliced; 2 tablespoons olive oil; 1/2 teaspoon smoked paprika; 1/4 teaspoon garlic powder; Salt and pepper, to taste; 1/2 cup Greek yogurt; 1 tablespoon chopped fresh dill","For eggplant chips with yogurt dip: Preheat oven to 400°F (200°C). Toss thinly sliced eggplant with olive oil, smoked paprika, garlic powder, salt, and pepper. Arrange in a single layer on a baking sheet and bake for 15-20 minutes until crisp. Mix Greek yogurt with chopped fresh dill to make dip. Serve eggplant chips with yogurt dip."
Bell Pepper Nachos,140,11,14,11,2 bell peppers; 1/2 cup cooked black beans; 1/4 cup diced tomatoes; 1/4 cup shredded cheddar cheese; 2 tablespoons chopped cilantro,"For bell pepper nachos: Slice bell peppers into rings and arrange on a baking sheet. Top each bell pepper ring with black beans, diced tomatoes, and shredded cheddar cheese. Broil in the oven until cheese is melted. Sprinkle with chopped cilantro before serving."
Tuna Cucumber Boats,120,9,12,9,"1 cucumber; 1 can tuna, drained; 2 tablespoons Greek yogurt; 1 tablespoon lemon juice; Salt and pepper, to taste","For tuna cucumber boats: Cut cucumber in half lengthwise and scoop out the seeds. In a bowl, mix drained tuna, Greek yogurt, lemon juice, salt, and pepper. Fill each cucumber half with the tuna mixture."
Zucchini Chips with Parmesan,160,12,16,12,"2 medium zucchinis; 1/4 cup grated Parmesan cheese; 1 tablespoon olive oil; 1/2 teaspoon garlic powder; Salt and pepper, to taste","For zucchini chips with Parmesan: Preheat oven to 425°F (220°C). Slice zucchinis into thin rounds and place on a baking sheet. Drizzle with olive oil and sprinkle with grated Parmesan cheese, garlic powder, salt, and pepper. Bake for 15-20 minutes until crispy."
Cauliflower Buffalo Bites,130,10,13,10,"1 head cauliflower, cut into florets; 1/4 cup buffalo sauce; 2 tablespoons olive oil; Salt and pepper, to taste","For cauliflower buffalo bites: Preheat oven to 450°F (230°C). Toss cauliflower florets with buffalo sauce, olive oil, salt, and pepper. Arrange in a single layer on a baking sheet and bake for 20-25 minutes until crispy."
Broccoli Cheese Bites,140,11,14,11,2 cups chopped broccoli florets; 1/4 cup shredded cheddar cheese; 2 tablespoons grated Parmesan cheese; 1 egg; 1/4 cup breadcrumbs,"For broccoli cheese bites: Steam chopped broccoli florets until tender. In a bowl, mix steamed broccoli with shredded cheddar cheese, grated Parmesan cheese, egg, and breadcrumbs. Form mixture into small patties and bake at 375°F (190°C) for 15-20 minutes until golden brown."
Apple Sandwiches with Almond Butter,180,14,18,14,"1 apple, sliced; 2 tablespoons almond butter; 2 tablespoons granola",For apple sandwiches with almond butter: Spread almond butter between apple slices and sprinkle with granola for a crunchy and satisfying snack.
Chia Seed Pudding with Berries,200,15,20,15,2 tablespoons chia seeds; 1/2 cup unsweetened almond milk; 1/2 teaspoon vanilla extract; 1 tablespoon honey; 1/2 cup mixed berries,"For chia seed pudding with berries: Mix chia seeds with unsweetened almond milk, vanilla extract, and honey. Let it sit for at least 30 minutes or overnight in the refrigerator until thickened. Top with mixed berries before serving."
Stuffed Celery Sticks,120,9,12,9,4 celery stalks; 1/4 cup peanut butter; 1/4 cup raisins,For stuffed celery sticks: Fill celery stalks with peanut butter and top with raisins for a sweet and crunchy snack.
Avocado Egg Salad Lettuce Wraps,160,12,16,12,"2 hard-boiled eggs, chopped; 1 avocado, mashed; 2 tablespoons Greek yogurt; 1 tablespoon lemon juice; Salt and pepper, to taste; Lettuce leaves","For avocado egg salad lettuce wraps: In a bowl, mix chopped hard-boiled eggs, mashed avocado, Greek yogurt, lemon juice, salt, and pepper. Spoon egg salad onto lettuce leaves and wrap to serve."
Cucumber Rolls with Tuna Salad,140,11,14,11,"1 cucumber; 1 can tuna, drained; 2 tablespoons Greek yogurt; 1 tablespoon Dijon mustard; Salt and pepper, to taste","For cucumber rolls with tuna salad: Slice cucumber lengthwise into thin strips using a peeler. In a bowl, mix drained tuna, Greek yogurt, Dijon mustard, salt, and pepper. Spread tuna salad onto cucumber strips and roll up."
Greek Yogurt Bark with Berries,180,14,18,14,1 cup Greek yogurt; 1 tablespoon honey; 1/2 cup mixed berries,For Greek yogurt bark with berries: Line a baking sheet with parchment paper. Mix Greek yogurt with honey and spread onto the prepared baking sheet. Sprinkle mixed berries on top and freeze for at least 2 hours until firm. Break into pieces before serving.
Cottage Cheese Stuffed Dates,150,11,15,11,"6 Medjool dates, pitted; 1/2 cup low-fat cottage cheese; 2 tablespoons chopped pistachios",For cottage cheese stuffed dates: Fill pitted Medjool dates with low-fat cottage cheese and sprinkle with chopped pistachios for a sweet and protein-packed snack.
Chickpea and Veggie Quesadillas,190,14,19,14,1 cup cooked chickpeas; 1/4 cup diced bell peppers; 1/4 cup diced onions; 1/4 cup shredded cheddar cheese; 2 whole grain tortillas,"For chickpea and veggie quesadillas: Mash cooked chickpeas and spread onto one whole grain tortilla. Top with diced bell peppers, diced onions, and shredded cheddar cheese. Place another tortilla on top and grill in a pan until cheese is melted and tortillas are crispy."
Roasted Beet Chips,120,9,12,9,"2 medium beets; 1 tablespoon olive oil; Salt and pepper, to taste","For roasted beet chips: Preheat oven to 375°F (190°C). Peel and thinly slice beets. Toss beet slices with olive oil, salt, and pepper. Arrange in a single layer on a baking sheet and bake for 20-25 minutes until crispy."
Cucumber Sushi Rolls,130,10,13,10,1 cucumber; 1/4 cup cooked quinoa; 1/4 cup shredded carrots; 1/4 cup sliced avocado; 1 tablespoon rice vinegar; 1/2 teaspoon sesame seeds,"For cucumber sushi rolls: Slice cucumber lengthwise into thin strips using a peeler. Lay cucumber strips flat and spread cooked quinoa, shredded carrots, and sliced avocado evenly. Sprinkle with rice vinegar and sesame seeds, then roll up tightly."
Pistachio Yogurt Dip with Apple Slices,150,11,15,11,"1/2 cup Greek yogurt; 2 tablespoons chopped pistachios; 1 tablespoon honey; 1/2 teaspoon vanilla extract; 1 apple, sliced","For pistachio yogurt dip with apple slices: Mix Greek yogurt, chopped pistachios, honey, and vanilla extract. Serve with apple slices for dipping."
Cherry Tomato Basil Skewers,90,7,9,7,12 cherry tomatoes; 12 fresh basil leaves; Balsamic glaze,For cherry tomato basil skewers: Thread cherry tomatoes and fresh basil leaves onto skewers. Drizzle with balsamic glaze before serving.
Spicy Roasted Chickpeas,140,11,14,11,"1 can chickpeas, drained and rinsed; 1 tablespoon olive oil; 1 teaspoon smoked paprika; 1/2 teaspoon cumin; 1/4 teaspoon cayenne pepper; Salt, to taste","For spicy roasted chickpeas: Preheat oven to 400°F (200°C). Pat chickpeas dry with a paper towel and toss with olive oil, smoked paprika, cumin, cayenne pepper, and salt. Spread on a baking sheet and bake for 25-30 minutes until crispy."
Mango Coconut Chia Pudding,180,14,18,14,1/4 cup chia seeds; 1 cup unsweetened coconut milk; 1/2 cup diced mango; 2 tablespoons shredded coconut,For mango coconut chia pudding: Mix chia seeds and coconut milk. Let it sit for at least 30 minutes or overnight in the refrigerator until thickened. Top with diced mango and shredded coconut before serving.
Stuffed Grape Leaves,160,12,16,12,"12 grape leaves; 1/2 cup cooked quinoa; 1/4 cup diced tomatoes; 1/4 cup chopped fresh parsley; 2 tablespoons lemon juice; 1 tablespoon olive oil; Salt and pepper, to taste","For stuffed grape leaves: Blanch grape leaves in boiling water for 2 minutes, then drain and pat dry. In a bowl, mix cooked quinoa, diced tomatoes, chopped fresh parsley, lemon juice, olive oil, salt, and pepper. Place a spoonful of quinoa mixture on each grape leaf and roll up tightly."
Carrot Cake Energy Balls,140,11,14,11,1 cup shredded carrots; 1/2 cup rolled oats; 1/4 cup almond butter; 2 tablespoons honey; 1/2 teaspoon cinnamon; 1/4 teaspoon nutmeg; 1/4 cup shredded coconut,"For carrot cake energy balls: Blend shredded carrots, rolled oats, almond butter, honey, cinnamon, and nutmeg until well combined. Roll mixture into balls and coat with shredded coconut."
Tuna Salad Cucumber Bites,110,8,11,8,"1 cucumber; 1 can tuna, drained; 2 tablespoons Greek yogurt; 1 tablespoon Dijon mustard; Salt and pepper, to taste","For tuna salad cucumber bites: Slice cucumber into rounds and hollow out the center to create cucumber cups. In a bowl, mix drained tuna, Greek yogurt, Dijon mustard, salt, and pepper. Spoon tuna salad into cucumber cups."
Almond Flour Banana Muffins,160,12,16,12,"1 cup almond flour; 1/2 teaspoon baking powder; 1/4 teaspoon baking soda; 1/4 teaspoon cinnamon; Pinch of salt; 2 ripe bananas, mashed; 1 egg; 1 tablespoon honey; 1 teaspoon vanilla extract","For almond flour banana muffins: Preheat oven to 350°F (175°C). In a bowl, mix almond flour, baking powder, baking soda, cinnamon, and salt. In another bowl, mix mashed bananas, egg, honey, and vanilla extract. Combine wet and dry ingredients until well mixed. Spoon batter into muffin cups and bake for 20-25 minutes until golden brown."
Bell Pepper Hummus Cups,120,9,12,9,2 bell peppers; 1/2 cup hummus; 2 tablespoons chopped parsley,For bell pepper hummus cups: Cut bell peppers into rings and remove seeds. Fill each bell pepper ring with hummus and sprinkle with chopped parsley.
Cucumber Avocado Rolls,150,11,15,11,"1 cucumber; 1/2 avocado, mashed; 1/4 cup cooked quinoa; 1/4 cup diced red bell pepper; 1 tablespoon lemon juice; Salt and pepper, to taste","For cucumber avocado rolls: Slice cucumber lengthwise into thin strips using a peeler. Spread mashed avocado onto cucumber strips, then top with cooked quinoa, diced red bell pepper, lemon juice, salt, and pepper. Roll up tightly and secure with toothpicks."
Turmeric Roasted Almonds,160,12,16,12,"1 cup raw almonds; 1 tablespoon olive oil; 1 teaspoon turmeric; 1/2 teaspoon garlic powder; 1/2 teaspoon cumin; Salt, to taste","For turmeric roasted almonds: Preheat oven to 325°F (160°C). Toss raw almonds with olive oil, turmeric, garlic powder, cumin, and salt. Spread on a baking sheet and bake for 15-20 minutes until golden brown."
Spinach and Feta Stuffed Mushrooms,120,9,12,9,"8 large mushrooms; 1 cup chopped spinach; 1/4 cup crumbled feta cheese; 1/4 cup breadcrumbs; 1 clove garlic, minced; 1 tablespoon olive oil","For spinach and feta stuffed mushrooms: Preheat oven to 375°F (190°C). Remove stems from mushrooms and place caps on a baking sheet. In a skillet, sauté chopped spinach and minced garlic in olive oil until wilted. Remove from heat and stir in crumbled feta cheese and breadcrumbs. Spoon filling into mushroom caps and bake for 15-20 minutes until mushrooms are tender."
Cauliflower Tots,140,11,14,11,"1 head cauliflower, grated; 1/4 cup grated Parmesan cheese; 1/4 cup breadcrumbs; 1 egg; 1/2 teaspoon garlic powder; Salt and pepper, to taste","For cauliflower tots: Preheat oven to 400°F (200°C). Mix grated cauliflower, Parmesan cheese, breadcrumbs, egg, garlic powder, salt, and pepper until well combined. Form mixture into tots and place on a baking sheet lined with parchment paper. Bake for 20-25 minutes until golden brown."
Minty Yogurt Dip with Veggie Sticks,110,8,11,8,"1/2 cup Greek yogurt; 2 tablespoons chopped fresh mint; 1 tablespoon lemon juice; Salt and pepper, to taste; Assorted veggie sticks","For minty yogurt dip with veggie sticks: Mix Greek yogurt, chopped fresh mint, lemon juice, salt, and pepper. Serve with assorted veggie sticks for dipping."
Apple Cinnamon Rice Cakes,130,10,13,10,"2 rice cakes; 2 tablespoons almond butter; 1/2 apple, thinly sliced; 1/2 teaspoon cinnamon",For apple cinnamon rice cakes: Spread almond butter on rice cakes and top with thinly sliced apple. Sprinkle with cinnamon before serving.
Chickpea Salad Lettuce Wraps,150,11,15,11,"1 can chickpeas, drained and rinsed; 1/4 cup diced cucumber; 1/4 cup diced tomatoes; 2 tablespoons chopped parsley; 1 tablespoon lemon juice; Salt and pepper, to taste; Lettuce leaves","For chickpea salad lettuce wraps: Mash chickpeas in a bowl and mix with diced cucumber, diced tomatoes, chopped parsley, lemon juice, salt, and pepper. Spoon chickpea salad onto lettuce leaves and wrap to serve."
Cinnamon Roasted Carrot Sticks,120,9,12,9,"4 carrots, cut into sticks; 1 tablespoon olive oil; 1/2 teaspoon cinnamon; 1/4 teaspoon nutmeg; Salt, to taste","For cinnamon roasted carrot sticks: Preheat oven to 400°F (200°C). Toss carrot sticks with olive oil, cinnamon, nutmeg, and salt. Spread on a baking sheet lined with parchment paper and roast for 20-25 minutes until tender."
Quinoa Stuffed Bell Peppers,180,14,18,14,"2 bell peppers; 1/2 cup cooked quinoa; 1/4 cup black beans, drained and rinsed; 1/4 cup diced tomatoes; 1/4 cup shredded cheddar cheese; 1 tablespoon chopped cilantro","For quinoa stuffed bell peppers: Preheat oven to 375°F (190°C). Cut bell peppers in half lengthwise and remove seeds. In a bowl, mix cooked quinoa, black beans, diced tomatoes, shredded cheddar cheese, and chopped cilantro. Fill bell pepper halves with quinoa mixture and bake for 20-25 minutes until peppers are tender."
Sesame Garlic Edamame,130,10,13,10,"2 cups edamame, steamed; 1 tablespoon sesame oil; 1 clove garlic, minced; 1 tablespoon soy sauce; 1 tablespoon sesame seeds","For sesame garlic edamame: Heat sesame oil in a skillet over medium heat. Add minced garlic and cook until fragrant. Add steamed edamame, soy sauce, and sesame seeds. Cook for another 2-3 minutes until edamame is coated in sauce."
Pita Chips with Roasted Red Pepper Hummus,160,12,16,12,"2 whole wheat pitas; 1/4 cup olive oil; 1 teaspoon garlic powder; Salt and pepper, to taste; 1/2 cup roasted red pepper hummus","For pita chips with roasted red pepper hummus: Preheat oven to 400°F (200°C). Cut pitas into wedges and place on a baking sheet. In a small bowl, mix olive oil, garlic powder, salt, and pepper. Brush pitas with oil mixture and bake for 10-12 minutes until crispy. Serve with roasted red pepper hummus for dipping."
Yogurt Berry Parfait,150,11,15,11,1/2 cup Greek yogurt; 1/4 cup mixed berries; 2 tablespoons granola,"For yogurt berry parfait: Layer Greek yogurt, mixed berries, and granola in a glass or bowl. Repeat layers as desired."
Spinach Artichoke Stuffed Mushrooms,140,11,14,11,"8 large mushrooms; 1 cup chopped spinach; 1/2 cup chopped artichoke hearts; 1/4 cup grated Parmesan cheese; 1/4 cup breadcrumbs; 1 clove garlic, minced; 1 tablespoon olive oil","For spinach artichoke stuffed mushrooms: Preheat oven to 375°F (190°C). Remove stems from mushrooms and place caps on a baking sheet. In a skillet, sauté chopped spinach, chopped artichoke hearts, minced garlic, and olive oil until spinach is wilted. Remove from heat and stir in grated Parmesan cheese and breadcrumbs. Spoon filling into mushroom caps and bake for 15-20 minutes until mushrooms are tender."
Banana Peanut Butter Bites,160,12,16,12,"2 bananas, sliced; 1/4 cup peanut butter; 2 tablespoons dark chocolate chips",For banana peanut butter bites: Spread peanut butter on banana slices and top with dark chocolate chips for a sweet and satisfying snack.
Tomato Basil Mozzarella Skewers,120,9,12,9,12 cherry tomatoes; 12 fresh basil leaves; 12 small mozzarella balls; Balsamic glaze,"For tomato basil mozzarella skewers: Thread cherry tomatoes, fresh basil leaves, and mozzarella balls onto skewers. Drizzle with balsamic glaze before serving."
Coconut Date Energy Balls,140,11,14,11,1 cup pitted dates; 1/2 cup rolled oats; 1/4 cup shredded coconut; 1/4 cup almonds; 1 tablespoon coconut oil; 1 tablespoon cocoa powder,"For coconut date energy balls: Blend pitted dates, rolled oats, shredded coconut, almonds, coconut oil, and cocoa powder until mixture comes together. Roll into balls and refrigerate until firm."
Stuffed Bell Pepper Rings,170,13,17,13,"2 bell peppers; 1/2 cup cooked quinoa; 1/4 cup black beans, drained and rinsed; 1/4 cup diced tomatoes; 1/4 cup shredded cheddar cheese; 2 tablespoons chopped cilantro","For stuffed bell pepper rings: Slice bell peppers into rings and remove seeds. In a bowl, mix cooked quinoa, black beans, diced tomatoes, shredded cheddar cheese, and chopped cilantro. Fill bell pepper rings with quinoa mixture and bake for 20-25 minutes until peppers are tender."
Broccoli Tots,130,10,13,10,"1 head broccoli, grated; 1/4 cup grated Parmesan cheese; 1/4 cup breadcrumbs; 1 egg; 1/2 teaspoon garlic powder; Salt and pepper, to taste","For broccoli tots: Preheat oven to 400°F (200°C). Mix grated broccoli, Parmesan cheese, breadcrumbs, egg, garlic powder, salt, and pepper until well combined. Form mixture into tots and place on a baking sheet lined with parchment paper. Bake for 20-25 minutes until golden brown."
Mango Salsa with Baked Tortilla Chips,140,11,14,11,"1 mango, diced; 1/2 red onion, finely chopped; 1/4 cup chopped cilantro; 1 jalapeño, seeded and minced; Juice of 1 lime; Salt and pepper, to taste; 2 whole wheat tortillas","For mango salsa with baked tortilla chips: In a bowl, combine diced mango, chopped red onion, chopped cilantro, minced jalapeño, lime juice, salt, and pepper. Mix well. Cut tortillas into wedges and place on a baking sheet. Bake at 350°F (175°C) for 10-12 minutes until crispy. Serve with mango salsa."
Greek Yogurt Veggie Dip,90,7,9,7,"1/2 cup Greek yogurt; 1/4 cup chopped cucumber; 1/4 cup chopped bell peppers; 1/4 cup grated carrots; 1 tablespoon chopped fresh dill; Salt and pepper, to taste","For Greek yogurt veggie dip: Mix Greek yogurt, chopped cucumber, chopped bell peppers, grated carrots, chopped fresh dill, salt, and pepper. Chill in the refrigerator for at least 30 minutes before serving."
Chocolate Covered Strawberries,120,9,12,9,"6 strawberries; 2 oz dark chocolate, melted",For chocolate-covered strawberries: Dip strawberries into melted dark chocolate and place on a parchment-lined baking sheet. Chill in the refrigerator until chocolate is set.
Chia Seed Pudding with Berries,160,12,16,12,2 tablespoons chia seeds; 1/2 cup unsweetened almond milk; 1/4 teaspoon vanilla extract; 1/2 cup mixed berries,"For chia seed pudding with berries: Mix chia seeds, almond milk, and vanilla extract in a bowl. Let it sit in the refrigerator for at least 2 hours or overnight until thickened. Serve with mixed berries on top."
Cottage Cheese Stuffed Celery,110,8,11,8,4 celery stalks; 1/2 cup low-fat cottage cheese; 1/4 teaspoon paprika,For cottage cheese stuffed celery: Fill celery stalks with low-fat cottage cheese and sprinkle with paprika for added flavor.
Watermelon Feta Salad Skewers,100,8,10,8,2 cups cubed watermelon; 1/2 cup crumbled feta cheese; Fresh mint leaves,For watermelon feta salad skewers: Thread cubed watermelon and crumbled feta cheese onto skewers. Garnish with fresh mint leaves.
Carrot Cake Oatmeal Cookies,140,11,14,11,1 cup rolled oats; 1/2 cup grated carrots; 1/4 cup chopped walnuts; 1/4 cup raisins; 2 tablespoons honey; 1 egg,"For carrot cake oatmeal cookies: Preheat oven to 350°F (175°C). In a bowl, mix rolled oats, grated carrots, chopped walnuts, raisins, honey, and egg until well combined. Drop spoonfuls of the mixture onto a baking sheet lined with parchment paper. Bake for 12-15 minutes until golden brown."
Bell Pepper Nachos,130,10,13,10,"2 bell peppers, halved and seeded; 1/2 cup black beans, drained and rinsed; 1/4 cup diced tomatoes; 1/4 cup shredded cheddar cheese; 2 tablespoons chopped cilantro","For bell pepper nachos: Preheat oven to 375°F (190°C). Place bell pepper halves on a baking sheet. Fill each half with black beans, diced tomatoes, and shredded cheddar cheese. Bake for 10-12 minutes until cheese is melted and bubbly. Sprinkle with chopped cilantro before serving."
Pumpkin Spice Energy Balls,150,11,15,11,1 cup rolled oats; 1/2 cup pumpkin puree; 1/4 cup almond butter; 2 tablespoons maple syrup; 1 teaspoon pumpkin pie spice,"For pumpkin spice energy balls: Mix rolled oats, pumpkin puree, almond butter, maple syrup, and pumpkin pie spice until well combined. Roll into balls and refrigerate until firm."
Cucumber Feta Bites,120,9,12,9,"1 cucumber, sliced; 1/4 cup crumbled feta cheese; 2 tablespoons balsamic glaze",For cucumber feta bites: Top cucumber slices with crumbled feta cheese and drizzle with balsamic glaze for a refreshing snack.
Almond Butter Banana Toast,160,12,16,12,"2 slices whole wheat bread; 2 tablespoons almond butter; 1 banana, sliced",For almond butter banana toast: Toast whole wheat bread and spread with almond butter. Top with sliced banana for a simple yet satisfying snack.
Zucchini Pizza Bites,110,8,11,8,"2 small zucchinis, sliced into rounds; 1/4 cup marinara sauce; 1/4 cup shredded mozzarella cheese; 1 teaspoon Italian seasoning","For zucchini pizza bites: Preheat oven to 400°F (200°C). Place zucchini rounds on a baking sheet lined with parchment paper. Top each round with marinara sauce, shredded mozzarella cheese, and Italian seasoning. Bake for 10-12 minutes until cheese is melted and bubbly."
Berry Smoothie Bowl,180,14,18,14,"1 cup mixed berries; 1/2 banana, frozen; 1/2 cup unsweetened almond milk; 2 tablespoons Greek yogurt; 2 tablespoons granola","For berry smoothie bowl: Blend mixed berries, frozen banana, almond milk, and Greek yogurt until smooth. Pour into a bowl and top with granola for added crunch."
Spicy Roasted Chickpeas,140,11,14,11,"1 can chickpeas, drained and rinsed; 1 tablespoon olive oil; 1 teaspoon paprika; 1/2 teaspoon cumin; 1/4 teaspoon cayenne pepper; Salt, to taste","For spicy roasted chickpeas: Preheat oven to 400°F (200°C). Pat chickpeas dry with a paper towel and toss with olive oil, paprika, cumin, cayenne pepper, and salt. Spread on a baking sheet lined with parchment paper and roast for 25-30 minutes until crispy."
