(name,calories,protein,carbs,fats,ingredients,recipe)
Spicy Beef Curry with Roti,550,25,30,30,"200g beef cubes, 2 tablespoons oil, 1 onion (chopped), 2 tomatoes (chopped), 1 teaspoon ginger paste, 1 teaspoon garlic paste, 2 teaspoons chili powder, 1 teaspoon cumin powder, Salt to taste","Heat oil in a pan and sautÃ© onions until golden brown. Add ginger paste, garlic paste, and tomatoes. Cook until tomatoes are soft. Add beef cubes, chili powder, cumin powder, and salt. Cook until beef is tender. Serve hot with roti."
Grilled Tandoori Fish with Cabbage Salad,550,30,15,40,"150g fish fillet (e.g., salmon or trout), 2 tablespoons tandoori masala, 1 tablespoon yogurt, 1 teaspoon lemon juice, Salt and pepper to taste, 1 cup shredded cabbage, 1 small carrot (grated), 1 tablespoon olive oil, 1 tablespoon lemon juice, Salt and pepper to taste","Marinate fish fillet with tandoori masala, yogurt, lemon juice, salt, and pepper. Grill until fish is cooked through. Toss shredded cabbage and grated carrot with olive oil, lemon juice, salt, and pepper to make the salad. Serve grilled fish with cabbage salad."
Mutton Curry with Rice,550,30,55,22,"100g diced mutton, 1 onion finely chopped, 1 tomato pureed, 1 tablespoon yogurt, 1 teaspoon ginger-garlic paste, 1 tablespoon cooking oil, spices (turmeric, chili powder, coriander powder, cumin powder), salt to taste, fresh coriander leaves for garnish, cooked basmati rice","To prepare, heat oil in a pan, sautÃ© onions until golden brown, add ginger-garlic paste, then mutton pieces until browned. Stir in tomato puree, yogurt, and spices, cooking until oil separates. Simmer with water until mutton is tender, then garnish with coriander leaves and serve with rice."
Mutton Kebabs with Salad,500,25,15,35,"150g minced mutton, 1 small onion finely chopped, 1 green chili finely chopped, 1 teaspoon ginger-garlic paste, 1 tablespoon gram flour (besan), spices (cumin powder, coriander powder, garam masala, salt), cooking oil for shallow frying, mixed salad greens (lettuce, cucumber, tomato)","Mix minced mutton, onion, chili, ginger-garlic paste, gram flour, and spices, then shape into kebabs. Shallow fry until golden brown and cooked through. Serve hot with mixed salad greens."
Mutton Biryani,600,35,70,22,"100g mutton pieces, 1/2 cup basmati rice washed and soaked, 1 onion thinly sliced, 1 tomato chopped, 1 tablespoon yogurt, biryani spices (bay leaf, cloves, cardamom, cinnamon), saffron strands (optional), cooking oil or ghee, fresh coriander leaves and mint leaves for garnish","Marinate mutton with yogurt and biryani spices, then sautÃ© onions until golden brown. Cook marinated mutton, add tomatoes, then layer soaked rice over it. Sprinkle saffron strands, add water, and cook until rice and mutton are done. Garnish with coriander and mint leaves before serving."
Chicken Seekh Kebabs with Salad,550,35,15,40,"200g ground chicken, 1 small onion finely chopped, 1 green chili finely chopped, 1 tablespoon ginger-garlic paste, 1 teaspoon garam masala, salt and pepper to taste, salad greens (lettuce, cucumber, tomato), lemon wedges for garnish","Preheat the oven to 400Â°F (200Â°C). Mix ground chicken with onion, chili, ginger-garlic paste, garam masala, salt, and pepper, shape into kebabs, then bake for 20-25 minutes. Serve with salad greens and lemon wedges."
Palak Paneer (Spinach with Cottage Cheese),500,20,20,35,"200g paneer cubed, 2 cups spinach finely chopped, 1 small onion finely chopped, 1 tomato pureed, 1 tablespoon ginger-garlic paste, 1 teaspoon cumin seeds, 1 teaspoon turmeric powder, 1 teaspoon garam masala, salt and pepper to taste, 1 tablespoon oil or ghee","Saute cumin seeds, onion, and ginger-garlic paste, then add tomato puree, spices, and spinach. Cook until spinach wilts, then add paneer and cook until flavors meld. Serve hot with a side salad if desired."
Grilled Tandoori Fish with Raita,550,30,15,40,"200g fish fillet (like tilapia or salmon), 2 tablespoons Greek yogurt, 1 tablespoon tandoori masala, juice of 1 lemon, salt and pepper to taste. For Raita: 1 cup Greek yogurt, 1 cucumber grated, 1 small tomato finely chopped, 1/2 teaspoon roasted cumin powder, salt to taste","Marinate fish in yogurt, tandoori masala, lemon juice, salt, and pepper, then grill until cooked. Serve with raita made by mixing Greek yogurt, grated cucumber, chopped tomato, roasted cumin powder, and salt."
Spicy Grilled Chicken Salad,550,35,20,35,"150g boneless chicken breast, 1 tablespoon olive oil, 1 teaspoon red chili powder, 1/2 teaspoon turmeric powder, salt to taste, mixed salad greens (lettuce, spinach, arugula), 1 cucumber sliced, 1 tomato sliced, 1/4 onion thinly sliced, fresh coriander leaves","Marinate chicken with olive oil, chili powder, turmeric, and salt, then grill until cooked. Arrange chicken over mixed greens, cucumber, tomato, and onion. Garnish with coriander leaves."
Stir-Fried Vegetables with Paneer,500,25,20,35,"200g paneer cubed, 1 tablespoon ghee or olive oil, 1/2 onion sliced, 1 bell pepper sliced, 1 cup broccoli florets, 1 teaspoon cumin seeds, 1 teaspoon turmeric powder, salt and pepper to taste, fresh coriander leaves for garnish","Saute cumin seeds and onion until translucent, then add bell pepper and broccoli. Cook until tender-crisp, then add turmeric, salt, and pepper. Add paneer and cook until heated through. Garnish with coriander leaves."
Egg Bhurji with Spinach,550,25,15,40,"3 eggs, 1 tablespoon ghee or coconut oil, 1/2 onion finely chopped, 1 tomato finely chopped, 1 cup chopped spinach, 1 green chili chopped (optional), 1/2 teaspoon turmeric powder, salt and pepper to taste, fresh coriander leaves for garnish","SautÃ© onion until golden, add tomato and cook until soft. Add spinach and chili, cook until wilted. Whisk eggs and pour into the pan, stirring until scrambled. Season with turmeric, salt, and pepper. Garnish with coriander leaves."
Grilled Fish with Mint Chutney,600,30,10,45,"150g fish fillet (tilapia or cod), 2 tablespoons mint chutney, 1 tablespoon olive oil, salt and pepper to taste"," Marinate fish with olive oil, salt, and pepper, then grill until cooked. Serve with mint chutney."
Chicken Tikka Salad,550,30,15,40,"150g chicken tikka, mixed salad greens (lettuce, cucumber, tomato), 1/4 onion thinly sliced, fresh coriander leaves, lemon wedges, mint chutney (optional)"," Arrange mixed greens on a plate, add sliced chicken tikka, onions, and coriander leaves. Serve with lemon wedges and mint chutney."
