name,calories,protein,carbs,fat,ingredients,recipe
Achari Gosht,480,36,20,36,"500g mutton or beef, cut into pieces; 2 onions, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 tablespoons mixed pickle masala; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For achari gosht: Heat cooking oil in a pressure cooker over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onions and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add mutton or beef pieces and cook until browned. Add chopped tomatoes, mixed pickle masala, coriander powder, turmeric powder, and salt. Cook until tomatoes are soft. Add enough water to cover the meat. Pressure cook for about 4-5 whistles or until meat is tender. Garnish with fresh coriander leaves before serving."
Shahi Paneer,400,30,25,30,"200g paneer, cubed; 1 onion, finely chopped; 2 tomatoes, chopped; 2 green chilies, slit; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cashew nuts, soaked in water; 1/4 cup fresh cream; 2 tablespoons ghee or butter; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For shahi paneer: Heat ghee or butter in a pan over medium heat. Add cumin seeds and let them crackle. Add finely chopped onion and sauteuntil golden brown. Add minced garlic, grated ginger, and slit green chilies. Cook for a minute. Add chopped tomatoes and cook until soft. Add soaked cashew nuts, coriander powder, red chili powder, turmeric powder, and salt. Cook until the mixture thickens. Blend the mixture into a smooth paste. Return the paste to the pan. Add cubed paneer and fresh cream. Simmer for 5-7 minutes. Garnish with fresh coriander leaves before serving."
Chapati Rolls,350,26,50,26,"For chapati rolls: Prepare chapati dough by mixing whole wheat flour, water, and salt. Divide the dough into small balls and roll out into thin chapatis. Cook the chapatis on a hot griddle until lightly browned on both sides. For the filling, sautemixed vegetables (such as carrots, bell peppers, and cabbage) with spices like cumin, coriander, and turmeric. Place the vegetable filling on each chapati and roll them tightly. Serve hot with mint chutney or yogurt dip.",
Haleem,700,38,70,38,"1 cup cracked wheat (daliya); 500g chicken or beef, cut into pieces; 1 onion, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish""","For haleem: Wash cracked wheat and soak in water for 1-2 hours. Heat cooking oil in a pressure cooker over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onions and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add chicken or beef pieces and cook until browned. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Add soaked cracked wheat and enough water to cover the mixture. Pressure cook for about 6-7 whistles or until meat and wheat are tender. Garnish with fresh coriander leaves before serving."
Fish Karahi,420,32,10,32,"200g fish fillets (such as tilapia or cod); 2 onions, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For fish karahi: Heat cooking oil in a large skillet or karahi over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onions and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add fish fillets and cook until lightly browned on both sides. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Garnish with fresh coriander leaves before serving."
Vegetable Chicken Korma,650,32,45,36,"2 chicken breasts, cubed; 1 cup mixed vegetables (carrots, peas, bell peppers); 1 onion, chopped; 2 tomatoes, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/2 cup yogurt; 1/4 cup cashews; 2 tablespoons oil; 1 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; 1 teaspoon garam masala; Salt, to taste; Fresh cilantro, for garnish","For vegetable chicken korma: Heat oil in a pan and add cumin seeds. Once they crackle, add chopped onions, minced garlic, and grated ginger. sauteuntil onions are translucent. Add cubed chicken breasts and cook until they are no longer pink. Add chopped tomatoes and mixed vegetables. Cook until vegetables are tender. In a blender, blend cashews with yogurt to make a smooth paste. Add this paste to the chicken and vegetable mixture. Stir in turmeric powder, garam masala, and salt. Simmer for 10-15 minutes until the flavors meld together. Garnish with fresh cilantro before serving."
Chicken Curry,450,34,20,34,"200g chicken, cut into pieces; 2 onions, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For chicken curry: Heat cooking oil in a pan over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onions and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add chicken pieces and cook until browned. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Add enough water to cover the chicken. Cover and simmer until chicken is cooked through. Garnish with fresh coriander leaves before serving."
Vegetable Biryani,400,30,70,30,"Quater cups basmati rice; Assorted vegetables (such as carrots, beans, peas), diced; 1 onion, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For vegetable biryani: Wash and soak basmati rice in water for 30 minutes. Drain and set aside. Heat cooking oil in a large pot over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add diced vegetables and cook for 3-4 minutes. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Add soaked rice and mix gently. Add enough water to cover the rice (about 3-4 cups). Cover and cook until rice is tender and water is absorbed. Garnish with fresh coriander leaves before serving."
Daal Chawal,350,26,60,26,"Quater cup lentils (masoor or moong); 1 onion, chopped; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For daal chawal: Wash lentils and soak in water for 30 minutes. Drain and set aside. Heat cooking oil in a pressure cooker over medium heat. Add cumin seeds and let them crackle. Add chopped onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add soaked lentils, chopped tomatoes, coriander powder, turmeric powder, and salt. Add enough water to cover the lentils. Pressure cook for about 4-5 whistles or until lentils are tender. Serve hot with steamed rice. Garnish with fresh coriander leaves before serving."
Palak Paneer,480,29,15,29,"50g paneer, cubed; 1 cups spinach leaves, chopped; 1 onion, finely chopped; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh cream, for garnish","For palak paneer: Heat cooking oil in a pan over medium heat. Add cumin seeds and let them crackle. Add finely chopped onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add chopped tomatoes and cook until soft. Add chopped spinach leaves, coriander powder, red chili powder, turmeric powder, and salt. Cook until spinach wilts. Blend the mixture into a smooth paste. Return the paste to the pan. Add cubed paneer and simmer for 5-7 minutes. Garnish with a swirl of fresh cream before serving."
Aloo Matar Chicken,650,45,25,40,"2 boneless chicken breasts, cubed; 2 potatoes, diced; 1 cup peas; 1 onion, chopped; 2 tomatoes, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; 1 teaspoon garam masala; Salt, to taste; Fresh cilantro, for garnish","For aloo matar chicken: Heat oil in a pan and add cumin seeds. Once they crackle, add chopped onions, minced garlic, and grated ginger. sauteuntil onions are golden brown. Add chopped tomatoes and cook until they soften. Stir in turmeric powder, garam masala, and salt. Add diced potatoes and cubed chicken breasts. Cook until chicken is cooked through and potatoes are tender. Add peas and simmer for 5-7 minutes. Garnish with fresh cilantro before serving."
Vegetable Mutton Soup with Egg,650,35,40,30,"200g mutton diced; 2 carrots diced; 2 potatoes diced; 1 onion chopped; 2 cloves garlic minced; 1-inch piece ginger grated; 2 tomatoes chopped; 2 eggs; Salt and pepper to taste; Fresh parsley for garnish""","For vegetable mutton soup with egg: In a large pot, bring water to a boil and add diced mutton. Cook until mutton is tender. Add diced carrots, potatoes, chopped onion, minced garlic, grated ginger, and chopped tomatoes. Season with salt and pepper. Simmer until vegetables are cooked through. In a separate bowl, beat eggs and slowly pour into the simmering soup while stirring continuously. Cook for another 5 minutes. Garnish with fresh parsley before serving."
Egg Bhurji,300,23,10,23,"4 eggs; 1 onion, finely chopped; 1 tomato, finely chopped; 1 green chili, finely chopped; 2 tablespoons chopped coriander leaves; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; Salt, to taste; 1 tablespoon cooking oil","For egg bhurji: Heat oil in a pan over medium heat. Add chopped onion and sauteuntil translucent. Add chopped tomato and green chili. Cook until tomatoes are soft. Beat eggs in a bowl and pour into the pan. Add turmeric powder, red chili powder, and salt. Stir continuously until the eggs are cooked and scrambled. Garnish with chopped coriander leaves before serving."
Beef Nihari,650,25,40,40,"100g  beef shank cut into pieces; 2 onions sliced; 2 tablespoons ginger garlic paste; 1/2 cup oil; 2 tablespoons Shan Nihari Masala; 6 cups water; Salt to taste; 2 tablespoons wheat flour (optional); Fresh ginger julienned for garnish; Fresh coriander leaves chopped for garnish For beef nihari: Heat oil in a pot and fry sliced onions until golden brown. Add ginger garlic paste and beef shank pieces. Cook until the meat changes color. Add Shan Nihari Masala and water. Cover and simmer on low heat until the meat is tender. If desired, mix wheat flour with water to make a paste and add it to the pot to thicken the gravy. Cook for another 10-15 minutes. Garnish with julienned ginger and chopped coriander leaves before serving.",
Vegetable Mutton Soup with Egg,650,35,40,30,"100g mutton, diced; 2 carrots, diced; 2 potatoes, diced; 1 onion, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 2 tomatoes, chopped; 2 eggs; Salt and pepper, to taste; Fresh parsley, for garnish","For vegetable mutton soup with egg: In a large pot, bring water to a boil and add diced mutton. Cook until mutton is tender. Add diced carrots, potatoes, chopped onion, minced garlic, grated ginger, and chopped tomatoes. Season with salt and pepper. Simmer until vegetables are cooked through. In a separate bowl, beat eggs and slowly pour into the simmering soup while stirring continuously. Cook for another 5 minutes. Garnish with fresh parsley before serving."
Shaljham Ghosht ,550,25,35,30,200g Mutton 400g Turnips 200g Onions 150g Tomatoes 100g Yogurt Spices;1. Heat oil in a pan and sauteonions until golden. 2. Add mutton and cook until browned. 3. Add chopped turnips tomatoes and yogurt. 4. Sprinkle spices and cook until meat is tender. 5. Serve hot with rice or bread.,
Moong Dal Khichdi,320,24,55,24,"1/2 cup moong dal (split yellow lentils); 1/2 cup rice; 1 onion, chopped; 1 tomato, chopped; 1 green chili, chopped; 1/2 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; Salt, to taste; 2 cups water; 1 tablespoon ghee","For moong dal khichdi: Wash moong dal and rice together. Heat ghee in a pressure cooker over medium heat. Add cumin seeds and let them crackle. Add chopped onion, green chili, and tomato. sauteuntil tomatoes are soft. Add washed moong dal and rice, turmeric powder, and salt. Pour in water and pressure cook for 3-4 whistles or until cooked. Serve hot with yogurt or pickle."
Chicken Salad,520,24,10,24,"300g grilled chicken breast, sliced; Mixed salad greens (lettuce, spinach, arugula); 1 cucumber, sliced; 1 tomato, sliced; 1/2 onion, thinly sliced; 2 tablespoons olive oil; 1 tablespoon lemon juice; Salt and pepper, to taste","For chicken salad: In a large bowl, toss mixed salad greens, sliced cucumber, sliced tomato, and thinly sliced onion. Add sliced grilled chicken breast. Drizzle olive oil and lemon juice over the salad. Season with salt and pepper. Toss well to combine. Serve immediately."
Beef and Vegetable Soup,650,28,42,39,"100g beef stew meat, cubed; 2 carrots, sliced; 2 celery stalks, chopped; 1 onion, chopped; 3 garlic cloves, minced; 4 cups beef broth; 1 can diced tomatoes; 1 cup green beans, trimmed and halved; 1 cup corn kernels; 1 teaspoon dried thyme; Salt and pepper, to taste; 2 tablespoons olive oil","In a large pot, heat olive oil over medium heat. Add beef cubes and brown on all sides. Remove beef and set aside. In the same pot, add onions, carrots, and celery. sauteuntil softened. Add garlic and cook for another minute. Return beef to the pot. Pour in beef broth and diced tomatoes with their juices. Bring to a boil, then reduce heat and simmer for 1 hour, stirring occasionally. Add green beans, corn, and dried thyme. Season with salt and pepper. Simmer for an additional 20-30 minutes until vegetables are tender. Serve hot."
Palak Ghosht (Spinach Lamb Curry),650,35,15,50,"200g lamb, cut into cubes; 2 cups spinach leaves, washed and chopped; 1 onion, finely chopped; 2 tomatoes, pureed; 2 cloves garlic, minced; 1-inch piece ginger, grated; 2 green chilies, chopped; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon garam masala; Salt, to taste; 2 tablespoons oil","For palak ghosht: Heat oil in a pan and add cumin seeds. Once they crackle, add chopped onions, minced garlic, grated ginger, and chopped green chilies. sauteuntil onions are golden brown. Add tomato puree and cook until oil separates. Stir in coriander powder, turmeric powder, and salt. Add lamb cubes and cook until they are browned. Add chopped spinach leaves and cook until wilted. Sprinkle garam masala and simmer for 15-20 minutes. Serve hot with rice or naan."
"Vegetable Stir-Fried Rice""",300,23,50,23,"1/4 cup cooked rice; Assorted vegetables (such as carrots, bell peppers, peas), diced; 1 onion, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 2 tablespoons soy sauce; 1 tablespoon olive oil; Salt and pepper, to taste",For vegetable stir-fried rice: Heat olive oil in a large skillet or wok over medium heat. Add minced garlic and grated ginger. sauteuntil fragrant. Add chopped onion and diced vegetables. Stir-fry until vegetables are tender-crisp. Add cooked rice and soy sauce. Toss well to combine. Season with salt and pepper. Stir-fry for another 2-3 minutes. Serve hot.
Lentil Soup,230,17,35,17,"1/4 cup lentils (masoor or moong); 1 carrot, diced; 1 celery stalk, diced; 1 onion, chopped; 2 cloves garlic, minced; 4 cups vegetable broth; 1 tablespoon olive oil; Salt and pepper, to tasteFor lentil soup: Heat olive oil in a large pot over medium heat. Add chopped onion and minced garlic. sauteuntil fragrant. Add diced carrot and celery. Cook until vegetables are softened. Add lentils and vegetable broth. Bring to a boil, then reduce heat and simmer until lentils are tender. Season with salt and pepper. Serve hot.""",
Tandoori Chicken (Marinated Grilled Chicken),650,45,5,50,"2 boneless skinless chicken breasts; 1 cup plain yogurt; 2 tablespoons tandoori masala; 1 tablespoon lemon juice; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1 teaspoon paprika; 1 teaspoon garlic powder; 1 teaspoon ginger paste; Salt to taste; Cooking spray For tandoori chicken: In a bowl combine yogurt tandoori masala lemon juice ground cumin ground coriander paprika garlic powder ginger paste and salt. Add chicken breasts to the marinade ensuring they are fully coated. Cover and refrigerate for at least 2 hours. Preheat grill to medium-high heat and lightly grease with cooking spray. Remove chicken from marinade and grill for 6-8 minutes on each side or until fully cooked. Serve hot.""",
Tandoori Chicken Salad,520,24,10,24,"200g tandoori chicken breast, sliced; Mixed salad greens (lettuce, spinach, arugula); 1 cucumber, sliced; 1 tomato, sliced; 1/2 onion, thinly sliced; 2 tablespoons yogurt; 1 tablespoon lemon juice; Salt and pepper, to taste","For tandoori chicken salad: In a large bowl, toss mixed salad greens, sliced cucumber, sliced tomato, and thinly sliced onion. Add sliced tandoori chicken breast. In a small bowl, whisk together yogurt, lemon juice, salt, and pepper to make the dressing. Drizzle the dressing over the salad. Toss well to combine. Serve immediately."
Grilled Vegetable Salad,270,15,30,15,"Assorted vegetables (such as bell peppers, zucchini, eggplant), sliced; Mixed salad greens (lettuce, spinach, arugula); 2 tablespoons balsamic vinegar; 1 tablespoon olive oil; Salt and pepper, to taste","For grilled vegetable salad: Preheat grill to medium-high heat. Toss sliced vegetables with olive oil, salt, and pepper. Grill vegetables until tender and slightly charred, about 5-7 minutes per side. In a large bowl, toss mixed salad greens with balsamic vinegar. Top with grilled vegetables. Serve warm or at room temperature."
Chicken Tikka Lettuce Wraps,550,19,5,19,"200g chicken breast, cut into cubes; 1 tablespoon tikka masala paste; 4 large lettuce leaves; 1/2 cucumber, sliced; 1/2 tomato, sliced; 1/4 onion, thinly sliced; 2 tablespoons Greek yogurt; Fresh coriander leaves, for garnish","For chicken tikka lettuce wraps: Marinate chicken breast cubes in tikka masala paste for at least 30 minutes. Heat a grill pan over medium-high heat. Grill chicken until cooked through, about 6-8 minutes. Place lettuce leaves on a plate. Fill each lettuce leaf with grilled chicken, cucumber slices, tomato slices, and onion slices. Top with Greek yogurt and fresh coriander leaves. Roll up and serve."
Fish Curry with Spinach,600,23,10,23,"100g white fish fillets (such as tilapia or cod); 2 cups spinach leaves; 1 onion, chopped; 2 tomatoes, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/2 teaspoon turmeric powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; Salt and pepper, to taste; 1 tablespoon olive oil","For fish curry with spinach: Heat olive oil in a pan over medium heat. Add chopped onion, minced garlic, and grated ginger. sauteuntil fragrant. Add chopped tomatoes and cook until soft. Add turmeric powder, cumin powder, coriander powder, salt, and pepper. Cook for a few minutes. Add fish fillets and spinach leaves. Cover and simmer until fish is cooked through and spinach wilts. Serve hot with steamed rice."
Chicken and Vegetable Skewers,600,23,15,23,"300g chicken breast, cut into cubes; Assorted vegetables (such as cherry tomatoes, bell peppers, mushrooms), cut into chunks; 2 tablespoons olive oil; 1 tablespoon lemon juice; 1 teaspoon paprika; Salt and pepper, to taste","For chicken and vegetable skewers: In a bowl, marinate chicken breast cubes in olive oil, lemon juice, paprika, salt, and pepper for at least 30 minutes. Thread marinated chicken cubes and assorted vegetables onto skewers. Preheat grill or grill pan to medium-high heat. Grill skewers until chicken is cooked through and vegetables are tender, about 8-10 minutes, turning occasionally. Serve hot."
Mixed Bean Salad,450,19,40,19,"1/2 cup mixed beans (such as kidney beans, black beans, chickpeas), cooked; Mixed salad greens (lettuce, spinach, arugula); 1 cucumber, sliced; 1 tomato, sliced; 1/4 onion, thinly sliced; 2 tablespoons balsamic vinegar; 1 tablespoon olive oil; Salt and pepper, to taste","For mixed bean salad: In a bowl, toss cooked mixed beans with mixed salad greens, sliced cucumber, sliced tomato, and thinly sliced onion. In a separate bowl, whisk together balsamic vinegar, olive oil, salt, and pepper to make the dressing. Drizzle the dressing over the salad. Toss well to combine. Serve chilled."
